frame num	sponza_full	Sponza_32_16_8	lost_32	lost_32_16_8	san_32	san_32_16_8
1	0.288743	5.59902	0.431795	7.79947	0.228826	4.66862
2	0.30102	7.3533	0.449985	10.27	0.226287	5.77103
3	0.300243	7.49038	0.450828	10.2143	0.228578	5.65304
4	0.300261	7.50083	0.445109	10.1672	0.230451	5.44773
5	0.302355	7.45786	0.450467	10.351	0.230141	5.38478
6	0.302295	7.31346	0.44421	10.2869	0.22968	5.2704
7	0.301966	7.35724	0.449986	10.2391	0.229637	5.43494
8	0.301981	7.4812	0.449341	10.3269	0.229282	5.41777
9	0.302047	7.24649	0.438318	9.70051	0.228976	5.06433
10	0.301827	6.84842	0.403837	9.82538	0.228556	5.16708
11	0.30159	7.21993	0.416415	10.5127	0.227905	5.43685
12	0.300852	7.50316	0.420182	10.4179	0.227431	5.71277
13	0.298199	7.38362	0.44825	10.3292	0.227332	5.7813
14	0.289086	7.38478	0.390494	10.4513	0.227207	5.79033
15	0.284132	7.49817	0.343094	10.4014	0.22654	5.83615
16	0.291132	7.45144	0.371221	10.1658	0.226546	5.80043
17	0.29773	7.50895	0.403383	10.3575	0.225971	5.79299
18	0.298548	7.36246	0.424171	10.5	0.225742	5.97241
19	0.298003	7.51416	0.397377	10.0051	0.226016	6.00382
20	0.297277	7.19333	0.373867	10.3571	0.226386	5.58432
21	0.297408	7.14004	0.39262	10.6014	0.227043	5.95316
22	0.296839	7.39484	0.421357	10.5438	0.227126	6.02347
23	0.296125	7.22697	0.391454	10.6297	0.227898	5.99846
24	0.295579	7.36833	0.397231	10.2563	0.217789	5.89534
25	0.294722	7.33878	0.379689	10.3345	0.192333	5.8595
26	0.294193	7.60817	0.344273	10.5344	0.194567	5.81659
27	0.293856	7.46821	0.369942	10.546	0.196353	5.7794
28	0.292876	7.53855	0.370398	10.5535	0.201901	5.84036
29	0.292041	7.51922	0.370311	10.6187	0.215879	5.96923
30	0.291194	7.66073	0.358868	10.6999	0.216737	5.56275
31	0.29161	7.45376	0.345767	10.6272	0.21734	5.45959
32	0.286875	7.46626	0.363385	10.5703	0.217749	5.50305
33	0.28973	7.44774	0.375405	10.4547	0.232662	5.57364
34	0.289472	7.52298	0.37136	10.6489	0.233569	5.45669
35	0.289341	7.45058	0.36575	10.6307	0.235331	5.41136
36	0.288901	7.45717	0.351822	10.2159	0.235904	5.45876
37	0.288322	7.56549	0.364607	10.4655	0.237033	5.45312
38	0.288229	7.36857	0.345087	10.6272	0.237958	5.64285
39	0.288314	7.64457	0.35446	10.4839	0.239062	5.75828
40	0.287997	7.57333	0.34907	10.4943	0.239278	5.81574
41	0.287946	7.60121	0.35688	10.5691	0.238602	5.92134
42	0.288216	7.5343	0.363205	10.1555	0.238001	5.79508
43	0.288617	7.45203	0.347783	10.3502	0.237724	5.7772
44	0.289339	7.64865	0.368065	10.5236	0.238166	5.66379
45	0.289483	7.46978	0.365614	10.456	0.238291	5.49194
46	0.289917	7.59878	0.369992	10.3802	0.238381	5.40637
47	0.290142	7.52458	0.363487	10.4786	0.238026	5.36437
