frame num	sponza_full	Sponza_32_16_8	lost_32	lost_32_16_8	san_32	san_32_16_8
1	3463.287422	178.602684	2315.913802	128.2138402	4370.132765	214.1960579
2	3322.038403	135.9933635	2222.296299	97.37098345	4419.16681	173.2792933
3	3330.635519	133.5045752	2218.140843	97.90196098	4374.874222	176.895971
4	3330.435854	133.3185794	2246.64071	98.35549611	4339.317252	183.5626949
5	3307.370475	134.0867219	2219.91844	96.60902328	4345.162314	185.7086083
6	3308.026927	136.734186	2251.187501	97.21101595	4353.883664	189.7389192
7	3311.631111	135.9205354	2222.29136	97.66483382	4354.698938	183.9946715
8	3311.466615	133.6683954	2225.481316	96.83448082	4361.441369	184.5777875
9	3310.74303	137.9978445	2281.448629	103.0873634	4367.269932	197.4594862
10	3313.156212	146.0190818	2476.246604	101.7772341	4375.295332	193.5329045
11	3315.759806	138.505498	2401.450476	95.12304165	4387.793159	183.930033
12	3323.893476	133.2771792	2379.921082	95.98863495	4396.937972	175.0464311
13	3353.465303	135.4349222	2230.897936	96.81291872	4398.852779	172.971477
14	3459.178238	135.4136481	2560.85881	95.6818769	4401.272848	172.7017286
15	3519.490941	133.3658746	2914.653127	96.14090411	4414.231482	171.3458359
16	3434.868032	134.2022482	2693.813119	98.3690413	4414.114573	172.4010116
17	3358.747859	133.1744119	2479.033574	96.54839488	4425.346615	172.6224281
18	3349.545132	135.8241675	2357.539766	95.23809524	4429.83583	167.4365959
19	3355.670916	133.0820744	2516.501962	99.949026	4424.465525	166.5606231
20	3363.866024	139.0176733	2674.747972	96.55212366	4417.234281	179.0728325
21	3362.384334	140.0552378	2546.992002	94.32716434	4404.45202	167.978015
22	3368.829568	135.2294303	2373.284412	94.84246666	4402.842475	166.0172625
23	3376.952301	138.3705758	2554.578571	94.07603225	4387.927933	166.7094554
24	3383.190281	135.7159628	2517.426888	97.50104814	4591.600127	169.6255008
25	3393.028006	136.2624305	2633.734451	96.76326866	5199.31577	170.6630259
26	3399.129143	131.4376519	2904.671583	94.92709599	5139.617715	171.9220368
27	3403.027333	133.9008946	2703.126436	94.82268159	5092.868456	173.028342
28	3414.414291	132.6515046	2699.798595	94.75529445	4952.922472	171.2223219
29	3424.176742	132.9925178	2700.432879	94.1734864	4632.224533	167.5257948
30	3434.136692	130.5358628	2786.539898	93.45881737	4613.886877	179.7672015
31	3429.23768	134.1604774	2892.120995	94.0981632	4601.085856	183.1639372
32	3485.83878	133.9358661	2751.902252	94.60469428	4592.443593	181.7174113
33	3451.489318	134.2689192	2663.789774	95.65075995	4298.080477	179.4159652
34	3454.565554	132.9260479	2692.804826	93.90641287	4281.390082	183.2612811
35	3456.129619	134.2177388	2734.107997	94.06718278	4249.333917	184.7964283
36	3461.393349	134.0991288	2842.346414	97.88662771	4239.01248	183.1917871
37	3468.34442	132.179145	2742.679104	95.55205198	4218.821852	183.381257
38	3469.463517	135.7115424	2897.81997	94.0981632	4202.422276	177.2154142
39	3468.440658	130.811805	2821.1928	95.38435124	4183.015285	173.6629688
40	3472.258392	132.0423116	2864.75492	95.289824	4179.239211	171.9471641
41	3472.873386	131.5580019	2802.062318	94.61543556	4191.079706	168.8806925
42	3469.620007	132.7263316	2753.266062	98.46881	4201.663018	172.5601717
43	3464.799371	134.191623	2875.356185	96.6164905	4206.558867	173.0942325
44	3456.153509	130.7420264	2716.911415	95.02451633	4198.752131	176.5602185
45	3454.434285	133.8727513	2735.125023	95.63886764	4196.549597	182.0850191
46	3449.263065	131.6000726	2702.761141	96.33725747	4194.965203	184.9669926
47	3446.588222	132.897783	2751.130027	95.43259596	4201.221715	186.4151802
48	3443.158616	132.4296335	2937.849788	95.50551067	4198.998959	183.3980729
49	3433.287785	133.756539	2817.980973	94.61454036	4182.035648	182.0545217
50	3424.540255	134.6228406	2531.190596	94.03356998	4158.592067	178.35231
51	3423.942259	135.0258372	2810.228106	93.69700263	4135.461166	180.249357
52	3420.838379	131.9353464	2726.132708	92.93680297	4123.082251	180.8841618
53	3410.664466	131.2873513	2515.647326	93.28097161	4099.385502	173.4605377
54	3413.144018	135.182449	2276.996641	95.72767391	4091.66977	167.5774501
55	3407.247898	134.8777738	2311.379848	93.43349404	4080.949719	168.028538
56	3404.058318	133.8487402	2273.590204	96.71179884	4071.992833	169.9466368
57	3406.539875	132.1894539	2307.976366	94.7651719	4055.429612	169.5737256
58	3409.420228	131.691058	2331.665415	95.964685	4035.203112	167.1424656
59	3403.722311	132.0039654	2305.762562	94.83257309	4035.642797	166.4924046
60	3451.8944	132.2917562	2502.52129	96.12334548	4038.250307	164.1402743
61	3401.244856	132.4606824	2486.442671	93.43262107	4041.008151	164.1868972
62	3466.26458	131.4981452	2481.100219	94.15752554	4035.268244	163.4780277
63	3399.256243	132.4833203	2484.10792	95.53653317	4041.939161	164.1777322
64	3405.217474	132.1564362	2469.044356	95.1818926	4035.887108	168.1214779
65	3399.106035	131.9682537	2464.231677	94.75080538	4035.072853	169.7467209
66	3399.429576	131.7302638	2465.240114	93.80951041	4034.161278	169.653415
67	3397.847124	134.2557599	2463.363624	93.88966087	4035.024008	171.0626928
68	3407.863304	131.0514652	2457.95061	94.56801332	4036.766873	167.609189
69	3403.826582	134.4801803	2452.681639	94.68889962	4040.648928	166.8248723
70	3406.029353	134.3807868	2451.040467	95.00375265	4057.634642	174.0495589
71	3411.350929	133.3852647	2438.857834	102.0491469	4055.873716	177.7866276
72	3416.047223	131.1597539	2441.614884	104.2743082	4066.925323	180.8118815
73	3416.035554	131.3615095	2437.472731	107.0930971	4080.050593	180.0455515
74	3415.860524	131.5227041	2435.952713	100.7234969	4094.316679	183.7350394
75	3432.156561	132.6793128	2338.388149	102.9330781	4119.209936	181.7778602
76	3431.626557	132.3940417	2252.571874	94.79391802	4139.758238	184.2224523
77	3434.655676	133.9839594	2250.093379	96.79886165	4160.789551	180.8020742
78	3539.021248	131.8325516	2254.008755	97.74693319	4178.662911	178.6505452
79	3461.621008	132.0083218	2258.106036	101.5041906	4172.595229	177.4912674
80	3456.715015	132.6177281	2255.076176	100.9393415	4164.220187	171.2607359
81	3458.89108	133.7730006	2255.600091	100.453346	4173.030538	168.8236704
82	3467.40638	133.5825092	2257.652313	95.52010698	4185.448868	173.8314183
83	3463.791258	133.141964	2251.212841	98.22314334	4188.218541	170.4210422
84	3467.02169	132.4124489	2251.983434	98.80251354	4194.736445	175.7194393
85	3477.43838	135.4477632	2254.069723	99.26050921	4197.447952	181.2286943
86	3472.511598	131.3827376	2252.937267	98.0661358	4194.930008	183.2119249
87	3469.487591	134.5288463	2256.06826	98.8533017	4210.597231	183.8002165
88	3467.03371	134.3459435	2254.572837	100.5307016	4229.975297	185.1138821
89	3466.384734	134.6351656	2252.95757	97.85406045	4241.871514	181.1945431
90	3457.850531	132.4219174	2253.07432	99.19355639	4263.883204	180.8956142
91	3451.775248	135.9454804	2249.354435	100.0638407	4276.848989	178.3733068
92	3445.661912	135.8677192	2252.947418	102.5284542	4287.190304	177.4900073
93	3462.471997	133.2496526	2254.135776	97.35865957	4300.187488	170.758029
94	3444.392013	132.8026539	2252.810381	100.0480231	4319.430526	166.9387769
95	3424.458165	133.8775904	2246.999133	96.92364355	4307.504103	169.1729641
96	3422.114388	132.6265224	2248.823303	95.91038134	4305.334309	173.4740786
97	3409.606225	132.2807315	2256.551898	98.58627285	4327.299635	170.6930308
98	3410.315522	132.8130603	2253.414486	98.15276496	4338.978344	170.5963537
99	3404.24373	136.1197963	2248.282312	100.4164269	4346.276545	167.6912603
100	3389.796036	132.5233506	2249.283603	98.72740377	4359.8631	169.168099
101	3393.983824	133.024539	2281.750559	98.88947124	4374.587148	165.9004829
102	3380.914064	132.2964817	2268.530491	98.00750738	4380.527678	169.1626617
103	3374.946423	133.4945948	2303.234663	99.57878175	4380.431735	165.2542933
104	3366.164659	131.4810286	2387.500955	97.06476161	4472.812012	168.3581044
105	3379.954168	133.4614563	2361.347574	100.3336093	4870.208932	169.0105615
106	3351.273819	132.9166838	2344.297613	101.0585887	4870.825702	168.0590358
107	3346.843425	133.0896905	2256.215875	97.11000622	4858.944832	173.7278345
108	3344.571092	130.7105819	2257.74916	102.3838021	4837.344298	172.2747852
109	3338.351989	130.0317407	2319.351509	100.4525387	4805.474396	170.268701
110	3338.418858	130.2023996	2270.415577	96.33168927	4789.340843	166.0202943
111	3321.111642	133.351647	2309.159512	98.62808336	4551.495621	178.0293927
112	3315.484973	134.1498588	2259.04465	98.13638995	4451.646219	179.7400599
113	3314.495948	134.1827999	2247.473839	98.93153937	4438.940159	181.4049085
114	3316.067674	131.4723855	2238.964703	98.83766901	4428.560673	179.8389722
115	3310.852644	133.0994333	2243.943596	100.6268044	4343.10532	184.9529665
116	3310.34848	132.5931102	2237.22155	100.5325208	4390.817922	184.3542256
117	3313.342832	136.3404585	2244.014092	94.94872769	4374.166175	186.7037087
118	3311.576277	131.5754849	2243.646554	98.13638995	4655.688553	182.941777
119	3325.463071	134.9995883	2235.731006	99.06777226	4354.642048	179.1581716
120	3300.918315	131.3772142	2241.941342	101.2580298	4346.729955	176.6984253
121	3304.670822	134.0268778	2242.82632	100.8195622	4332.398979	172.9316937
122	3304.769112	133.5801895	2243.450247	95.72675754	4327.112388	168.6681959
